match_id,date,venue,actual_best_11,predicted_best_11,overlap_count
Chennai Super Kings_vs_Lucknow Super Giants_2024-04-23,2024-04-23,"MA Chidambaram Stadium, Chepauk, Chennai","['MP Stoinis', 'RD Gaikwad', 'S Dube', 'N Pooran', 'DJ Hooda', 'KL Rahul', 'RA Jadeja', 'DJ Mitchell', 'D Padikkal', 'MS Dhoni', 'AM Rahane']","['RD Gaikwad', 'MP Stoinis', 'KL Rahul', 'S Dube', 'N Pooran', 'DJ Mitchell', 'RA Jadeja', 'AM Rahane', 'MS Dhoni', 'DJ Hooda', 'Q de Kock']",10
Chennai Super Kings_vs_Mumbai Indians_2024-04-14,2024-04-14,"Wankhede Stadium, Mumbai","['RG Sharma', 'RD Gaikwad', 'S Dube', 'Tilak Varma', 'MS Dhoni', 'Ishan Kishan', 'R Ravindra', 'TH David', 'DJ Mitchell', 'AM Rahane', 'Mohammad Nabi']","['RG Sharma', 'Ishan Kishan', 'RD Gaikwad', 'SA Yadav', 'S Dube', 'TH David', 'HH Pandya', 'Tilak Varma', 'AM Rahane', 'R Ravindra', 'R Shepherd']",8
Chennai Super Kings_vs_Punjab Kings_2024-05-05,2024-05-05,"Himachal Pradesh Cricket Association Stadium, Dharamsala","['RA Jadeja', 'RD Gaikwad', 'P Simran Singh', 'DJ Mitchell', 'Shashank Singh', 'RD Chahar', 'Harpreet Brar', 'SN Thakur', 'MM Ali', 'HV Patel', 'K Rabada']","['RD Gaikwad', 'RA Jadeja', 'Shashank Singh', 'RR Rossouw', 'DJ Mitchell', 'P Simran Singh', 'JM Bairstow', 'SM Curran', 'MM Ali', 'SN Thakur', 'JM Sharma']",7
Chennai Super Kings_vs_Punjab Kings_2023-04-30,2023-04-30,"MA Chidambaram Stadium, Chepauk, Chennai","['DP Conway', 'P Simran Singh', 'LS Livingstone', 'RD Gaikwad', 'S Dhawan', 'S Dube', 'SM Curran', 'JM Sharma', 'MS Dhoni', 'Sikandar Raza', 'MM Ali']","['DP Conway', 'S Dhawan', 'RD Gaikwad', 'S Dube', 'LS Livingstone', 'P Simran Singh', 'SM Curran', 'JM Sharma', 'RA Jadeja', 'Sikandar Raza', 'M Shahrukh Khan']",9
Chennai Super Kings_vs_Punjab Kings_2024-05-01,2024-05-01,"MA Chidambaram Stadium, Chepauk, Chennai","['RD Gaikwad', 'JM Bairstow', 'RR Rossouw', 'AM Rahane', 'SM Curran', 'Shashank Singh', 'Sameer Rizvi', 'MS Dhoni', 'MM Ali', 'P Simran Singh', 'DJ Mitchell']","['RD Gaikwad', 'JM Bairstow', 'S Dube', 'Shashank Singh', 'RR Rossouw', 'P Simran Singh', 'DJ Mitchell', 'SM Curran', 'RA Jadeja', 'Sameer Rizvi', 'AM Rahane']",9
Chennai Super Kings_vs_Royal Challengers Bangalore_2023-04-17,2023-04-17,"M Chinnaswamy Stadium, Bengaluru","['DP Conway', 'GJ Maxwell', 'F du Plessis', 'S Dube', 'AM Rahane', 'KD Karthik', 'MM Ali', 'SS Prabhudessai', 'AT Rayudu', 'Shahbaz Ahmed', 'RA Jadeja']","['DP Conway', 'F du Plessis', 'V Kohli', 'GJ Maxwell', 'AM Rahane', 'S Dube', 'MM Ali', 'MS Dhoni', 'RA Jadeja', 'AT Rayudu', 'MK Lomror']",8
Chennai Super Kings_vs_Sunrisers Hyderabad_2024-04-28,2024-04-28,"MA Chidambaram Stadium, Chepauk, Chennai","['RD Gaikwad', 'DJ Mitchell', 'S Dube', 'AK Markram', 'Abdul Samad', 'Abhishek Sharma', 'H Klaasen', 'TM Head', 'Nithish Kumar Reddy', 'AM Rahane', 'MS Dhoni']","['RD Gaikwad', 'S Dube', 'TM Head', 'H Klaasen', 'DJ Mitchell', 'Shahbaz Ahmed', 'Abhishek Sharma', 'Nithish Kumar Reddy', 'AM Rahane', 'AK Markram', 'Abdul Samad']",10
Chennai Super Kings_vs_Sunrisers Hyderabad_2024-04-05,2024-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad","['AK Markram', 'S Dube', 'Abhishek Sharma', 'AM Rahane', 'RA Jadeja', 'TM Head', 'RD Gaikwad', 'Nithish Kumar Reddy', 'Shahbaz Ahmed', 'R Ravindra', 'DJ Mitchell']","['S Dube', 'H Klaasen', 'Abhishek Sharma', 'TM Head', 'RA Jadeja', 'AM Rahane', 'AK Markram', 'RD Gaikwad', 'Shahbaz Ahmed', 'Nithish Kumar Reddy', 'R Ravindra']",10
Delhi Capitals_vs_Chennai Super Kings_2024-03-31,2024-03-31,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","['DA Warner', 'RR Pant', 'AM Rahane', 'MS Dhoni', 'PP Shaw', 'DJ Mitchell', 'RA Jadeja', 'MR Marsh', 'S Dube', 'Abishek Porel', 'AR Patel']","['DA Warner', 'AM Rahane', 'DJ Mitchell', 'RR Pant', 'PP Shaw', 'RA Jadeja', 'S Dube', 'MR Marsh', 'T Stubbs', 'MS Dhoni', 'Abishek Porel']",10
Delhi Capitals_vs_Chennai Super Kings_2025-04-05,2025-04-05,"MA Chidambaram Stadium, Chepauk, Chennai","['KL Rahul', 'V Shankar', 'Abishek Porel', 'T Stubbs', 'MS Dhoni', 'AR Patel', 'Sameer Rizvi', 'S Dube', 'DP Conway', 'RD Gaikwad', 'Ashutosh Sharma']","['DP Conway', 'R Ravindra', 'KL Rahul', 'RD Gaikwad', 'Abishek Porel', 'AR Patel', 'V Shankar', 'T Stubbs', 'S Dube', 'RA Jadeja', 'Sameer Rizvi']",9
Delhi Capitals_vs_Gujarat Titans_2023-04-04,2023-04-04,"Arun Jaitley Stadium, Delhi","['B Sai Sudharsan', 'AR Patel', 'DA Miller', 'DA Warner', 'SN Khan', 'V Shankar', 'Abishek Porel', 'WP Saha', 'Shubman Gill', 'Aman Hakim Khan', 'PP Shaw']","['B Sai Sudharsan', 'DA Warner', 'DA Miller', 'Abishek Porel', 'AR Patel', 'HH Pandya', 'WP Saha', 'MR Marsh', 'SN Khan', 'V Shankar', 'PP Shaw']",9
Delhi Capitals_vs_Gujarat Titans_2024-04-24,2024-04-24,"Arun Jaitley Stadium, Delhi","['RR Pant', 'AR Patel', 'B Sai Sudharsan', 'DA Miller', 'WP Saha', 'T Stubbs', 'Rashid Khan', 'J Fraser-McGurk', 'R Sai Kishore', 'PP Shaw', 'M Shahrukh Khan']","['B Sai Sudharsan', 'J Fraser-McGurk', 'T Stubbs', 'RR Pant', 'DA Miller', 'AR Patel', 'WP Saha', 'SD Hope', 'R Sai Kishore', 'PP Shaw', 'Rashid Khan']",10
Delhi Capitals_vs_Gujarat Titans_2023-05-02,2023-05-02,"Narendra Modi Stadium, Ahmedabad","['HH Pandya', 'Aman Hakim Khan', 'R Tewatia', 'AR Patel', 'RV Patel', 'A Manohar', 'RR Rossouw', 'PK Garg', 'Shubman Gill', 'V Shankar', 'A Nortje']","['Aman Hakim Khan', 'Shubman Gill', 'HH Pandya', 'AR Patel', 'A Manohar', 'V Shankar', 'DA Miller', 'RV Patel', 'R Tewatia', 'WP Saha', 'PK Garg']",9
Delhi Capitals_vs_Kolkata Knight Riders_2024-04-29,2024-04-29,"Eden Gardens, Kolkata","['PD Salt', 'Kuldeep Yadav', 'SS Iyer', 'VR Iyer', 'RR Pant', 'Abishek Porel', 'SP Narine', 'J Fraser-McGurk', 'PP Shaw', 'AR Patel', 'RK Singh']","['PD Salt', 'SP Narine', 'RR Pant', 'SS Iyer', 'Abishek Porel', 'Kuldeep Yadav', 'J Fraser-McGurk', 'VR Iyer', 'AR Patel', 'RK Singh', 'PP Shaw']",11
Delhi Capitals_vs_Lucknow Super Giants_2024-05-14,2024-05-14,"Arun Jaitley Stadium, Delhi","['N Pooran', 'Arshad Khan', 'T Stubbs', 'Abishek Porel', 'SD Hope', 'RR Pant', 'Yudhvir Singh', 'KH Pandya', 'AR Patel', 'Q de Kock', 'A Badoni']","['N Pooran', 'Arshad Khan', 'Abishek Porel', 'RR Pant', 'J Fraser-McGurk', 'T Stubbs', 'AR Patel', 'SD Hope', 'Q de Kock', 'KH Pandya', 'KL Rahul']",9
Delhi Capitals_vs_Mumbai Indians_2023-04-11,2023-04-11,"Arun Jaitley Stadium, Delhi","['RG Sharma', 'AR Patel', 'DA Warner', 'Tilak Varma', 'Ishan Kishan', 'MK Pandey', 'C Green', 'PP Shaw', 'TH David', 'A Nortje', 'R Powell']","['Tilak Varma', 'DA Warner', 'TH David', 'AR Patel', 'Ishan Kishan', 'RG Sharma', 'MK Pandey', 'C Green', 'SA Yadav', 'Abishek Porel', 'PP Shaw']",9
Delhi Capitals_vs_Mumbai Indians_2024-04-27,2024-04-27,"Arun Jaitley Stadium, Delhi","['J Fraser-McGurk', 'Tilak Varma', 'T Stubbs', 'HH Pandya', 'SD Hope', 'TH David', 'Abishek Porel', 'SA Yadav', 'RR Pant', 'Ishan Kishan', 'AR Patel']","['Tilak Varma', 'RR Pant', 'J Fraser-McGurk', 'RG Sharma', 'T Stubbs', 'Abishek Porel', 'TH David', 'SD Hope', 'Ishan Kishan', 'SA Yadav', 'AR Patel']",10
Delhi Capitals_vs_Punjab Kings_2023-05-17,2023-05-17,"Himachal Pradesh Cricket Association Stadium, Dharamsala","['LS Livingstone', 'RR Rossouw', 'Atharva Taide', 'PP Shaw', 'DA Warner', 'PD Salt', 'P Simran Singh', 'SM Curran', 'M Shahrukh Khan', 'Harpreet Brar', 'JM Sharma']","['RR Rossouw', 'LS Livingstone', 'Atharva Taide', 'PP Shaw', 'DA Warner', 'PD Salt', 'P Simran Singh', 'SM Curran', 'M Shahrukh Khan', 'JM Sharma', 'Harpreet Brar']",11
Delhi Capitals_vs_Punjab Kings_2024-03-23,2024-03-23,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur","['SM Curran', 'LS Livingstone', 'Abishek Porel', 'SD Hope', 'DA Warner', 'P Simran Singh', 'AR Patel', 'MR Marsh', 'S Dhawan', 'RR Pant', 'JM Bairstow']","['SD Hope', 'DA Warner', 'SM Curran', 'LS Livingstone', 'MR Marsh', 'P Simran Singh', 'AR Patel', 'Abishek Porel', 'RR Pant', 'S Dhawan', 'JM Sharma']",10
Delhi Capitals_vs_Rajasthan Royals_2024-05-07,2024-05-07,"Arun Jaitley Stadium, Delhi","['SV Samson', 'Abishek Porel', 'J Fraser-McGurk', 'T Stubbs', 'SB Dubey', 'R Parag', 'JC Buttler', 'Gulbadin Naib', 'AR Patel', 'R Powell', 'RR Pant']","['JC Buttler', 'SV Samson', 'RR Pant', 'J Fraser-McGurk', 'Abishek Porel', 'YBK Jaiswal', 'T Stubbs', 'AR Patel', 'SB Dubey', 'R Parag', 'Gulbadin Naib']",10
Delhi Capitals_vs_Rajasthan Royals_2025-04-16,2025-04-16,"Arun Jaitley Stadium, Delhi","['N Rana', 'YBK Jaiswal', 'Abishek Porel', 'AR Patel', 'T Stubbs', 'KL Rahul', 'SV Samson', 'Dhruv Jurel', 'SO Hetmyer', 'Ashutosh Sharma', 'J Fraser-McGurk']","['SV Samson', 'Abishek Porel', 'KK Nair', 'YBK Jaiswal', 'N Rana', 'KL Rahul', 'T Stubbs', 'AR Patel', 'R Parag', 'Dhruv Jurel', 'SO Hetmyer']",9
Delhi Capitals_vs_Sunrisers Hyderabad_2023-04-24,2023-04-24,"Rajiv Gandhi International Stadium, Uppal, Hyderabad","['MA Agarwal', 'H Klaasen', 'AR Patel', 'MK Pandey', 'MR Marsh', 'Washington Sundar', 'DA Warner', 'RA Tripathi', 'SN Khan', 'RV Patel', 'HC Brook']","['AR Patel', 'MA Agarwal', 'MK Pandey', 'H Klaasen', 'DA Warner', 'AK Markram', 'RA Tripathi', 'Washington Sundar', 'Abhishek Sharma', 'HC Brook', 'SN Khan']",9
Gujarat Titans_vs_Chennai Super Kings_2023-05-29,2023-05-29,"Narendra Modi Stadium, Ahmedabad","['B Sai Sudharsan', 'WP Saha', 'DP Conway', 'Shubman Gill', 'S Dube', 'AM Rahane', 'RD Gaikwad', 'HH Pandya', 'AT Rayudu', 'RA Jadeja', 'MS Dhoni']","['Shubman Gill', 'B Sai Sudharsan', 'RD Gaikwad', 'DP Conway', 'S Dube', 'HH Pandya', 'AM Rahane', 'AT Rayudu', 'WP Saha', 'RA Jadeja', 'Rashid Khan']",10
Gujarat Titans_vs_Chennai Super Kings_2024-05-10,2024-05-10,"Narendra Modi Stadium, Ahmedabad","['Shubman Gill', 'B Sai Sudharsan', 'DJ Mitchell', 'MM Ali', 'MS Dhoni', 'S Dube', 'RA Jadeja', 'DA Miller', 'SN Thakur', 'M Shahrukh Khan', 'R Ravindra']","['B Sai Sudharsan', 'DJ Mitchell', 'RD Gaikwad', 'Shubman Gill', 'MM Ali', 'DA Miller', 'S Dube', 'M Shahrukh Khan', 'RA Jadeja', 'MS Dhoni', 'AM Rahane']",9
Gujarat Titans_vs_Delhi Capitals_2024-04-17,2024-04-17,"Narendra Modi Stadium, Ahmedabad","['Rashid Khan', 'J Fraser-McGurk', 'SD Hope', 'Abishek Porel', 'RR Pant', 'B Sai Sudharsan', 'Sumit Kumar', 'Shubman Gill', 'A Manohar', 'R Tewatia', 'PP Shaw']","['Shubman Gill', 'B Sai Sudharsan', 'PP Shaw', 'RR Pant', 'J Fraser-McGurk', 'SD Hope', 'A Manohar', 'DA Miller', 'R Tewatia', 'WP Saha', 'M Shahrukh Khan']",8
Gujarat Titans_vs_Kolkata Knight Riders_2023-04-09,2023-04-09,"Narendra Modi Stadium, Ahmedabad","['VR Iyer', 'V Shankar', 'B Sai Sudharsan', 'RK Singh', 'N Rana', 'Shubman Gill', 'A Manohar', 'WP Saha', 'Rahmanullah Gurbaz', 'N Jagadeesan', 'UT Yadav']","['VR Iyer', 'B Sai Sudharsan', 'Shubman Gill', 'RK Singh', 'DA Miller', 'Rahmanullah Gurbaz', 'V Shankar', 'A Manohar', 'N Rana', 'AD Russell', 'WP Saha']",9
Gujarat Titans_vs_Lucknow Super Giants_2023-04-22,2023-04-22,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","['HH Pandya', 'KL Rahul', 'WP Saha', 'KR Mayers', 'KH Pandya', 'V Shankar', 'A Badoni', 'DA Miller', 'DJ Hooda', 'R Tewatia', 'A Manohar']","['KL Rahul', 'WP Saha', 'HH Pandya', 'Shubman Gill', 'MP Stoinis', 'KR Mayers', 'N Pooran', 'A Badoni', 'KH Pandya', 'DA Miller', 'V Shankar']",8
Gujarat Titans_vs_Lucknow Super Giants_2025-04-12,2025-04-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","['N Pooran', 'AK Markram', 'Shubman Gill', 'B Sai Sudharsan', 'A Badoni', 'RR Pant', 'SE Rutherford', 'M Shahrukh Khan', 'JC Buttler', 'DA Miller', 'Rashid Khan']","['B Sai Sudharsan', 'AK Markram', 'N Pooran', 'Shubman Gill', 'SE Rutherford', 'A Badoni', 'JC Buttler', 'M Shahrukh Khan', 'Abdul Samad', 'R Tewatia', 'DA Miller']",9
Gujarat Titans_vs_Lucknow Super Giants_2023-05-07,2023-05-07,"Narendra Modi Stadium, Ahmedabad","['Shubman Gill', 'WP Saha', 'Q de Kock', 'KR Mayers', 'HH Pandya', 'DA Miller', 'A Badoni', 'DJ Hooda', 'Ravi Bishnoi', 'MP Stoinis', 'Swapnil Singh']","['Q de Kock', 'Shubman Gill', 'KR Mayers', 'HH Pandya', 'A Badoni', 'DA Miller', 'WP Saha', 'MP Stoinis', 'N Pooran', 'Swapnil Singh', 'DJ Hooda']",10
Gujarat Titans_vs_Mumbai Indians_2023-04-25,2023-04-25,"Narendra Modi Stadium, Ahmedabad","['Shubman Gill', 'DA Miller', 'A Manohar', 'N Wadhera', 'C Green', 'SA Yadav', 'R Tewatia', 'PP Chawla', 'V Shankar', 'Arjun Tendulkar', 'HH Pandya']","['Shubman Gill', 'C Green', 'SA Yadav', 'V Shankar', 'HH Pandya', 'Tilak Varma', 'A Manohar', 'DA Miller', 'RG Sharma', 'N Wadhera', 'Arjun Tendulkar']",9
Gujarat Titans_vs_Mumbai Indians_2023-05-26,2023-05-26,"Narendra Modi Stadium, Ahmedabad","['Shubman Gill', 'SA Yadav', 'Tilak Varma', 'B Sai Sudharsan', 'HH Pandya', 'C Green', 'WP Saha', 'RG Sharma', 'Rashid Khan', 'K Kartikeya', 'JP Behrendorff']","['Shubman Gill', 'SA Yadav', 'B Sai Sudharsan', 'C Green', 'Tilak Varma', 'N Wadhera', 'RG Sharma', 'HH Pandya', 'Rashid Khan', 'CJ Jordan', 'WP Saha']",9
Gujarat Titans_vs_Mumbai Indians_2024-03-24,2024-03-24,"Narendra Modi Stadium, Ahmedabad","['D Brevis', 'RG Sharma', 'B Sai Sudharsan', 'Shubman Gill', 'Tilak Varma', 'Naman Dhir', 'R Tewatia', 'Azmatullah Omarzai', 'WP Saha', 'HH Pandya', 'DA Miller']","['Shubman Gill', 'B Sai Sudharsan', 'D Brevis', 'Tilak Varma', 'V Shankar', 'Naman Dhir', 'HH Pandya', 'RG Sharma', 'WP Saha', 'Azmatullah Omarzai', 'DA Miller']",10
Gujarat Titans_vs_Mumbai Indians_2025-03-29,2025-03-29,"Narendra Modi Stadium, Ahmedabad","['B Sai Sudharsan', 'SA Yadav', 'JC Buttler', 'Shubman Gill', 'Tilak Varma', 'MJ Santner', 'Naman Dhir', 'SE Rutherford', 'M Shahrukh Khan', 'HH Pandya', 'RG Sharma']","['B Sai Sudharsan', 'Shubman Gill', 'SA Yadav', 'JC Buttler', 'Tilak Varma', 'SE Rutherford', 'Naman Dhir', 'M Shahrukh Khan', 'RG Sharma', 'Rashid Khan', 'HH Pandya']",10
Gujarat Titans_vs_Punjab Kings_2024-04-04,2024-04-04,"Narendra Modi Stadium, Ahmedabad","['Shubman Gill', 'Shashank Singh', 'B Sai Sudharsan', 'P Simran Singh', 'Ashutosh Sharma', 'R Tewatia', 'JM Bairstow', 'KS Williamson', 'JM Sharma', 'Sikandar Raza', 'WP Saha']","['B Sai Sudharsan', 'Shubman Gill', 'Shashank Singh', 'Ashutosh Sharma', 'S Dhawan', 'WP Saha', 'Sikandar Raza', 'JM Bairstow', 'KS Williamson', 'P Simran Singh', 'JM Sharma']",10
Gujarat Titans_vs_Rajasthan Royals_2023-04-16,2023-04-16,"Narendra Modi Stadium, Ahmedabad","['SV Samson', 'SO Hetmyer', 'DA Miller', 'Shubman Gill', 'A Manohar', 'HH Pandya', 'D Padikkal', 'Dhruv Jurel', 'B Sai Sudharsan', 'R Ashwin', 'WP Saha']","['Shubman Gill', 'B Sai Sudharsan', 'JC Buttler', 'SO Hetmyer', 'SV Samson', 'DA Miller', 'YBK Jaiswal', 'A Manohar', 'HH Pandya', 'WP Saha', 'Dhruv Jurel']",9
Gujarat Titans_vs_Rajasthan Royals_2025-04-09,2025-04-09,"Narendra Modi Stadium, Ahmedabad","['B Sai Sudharsan', 'SO Hetmyer', 'SV Samson', 'M Shahrukh Khan', 'JC Buttler', 'R Parag', 'R Tewatia', 'Rashid Khan', 'SE Rutherford', 'Sandeep Sharma', 'YBK Jaiswal']","['B Sai Sudharsan', 'JC Buttler', 'Shubman Gill', 'SV Samson', 'SO Hetmyer', 'SE Rutherford', 'R Parag', 'R Tewatia', 'YBK Jaiswal', 'M Shahrukh Khan', 'N Rana']",9
Gujarat Titans_vs_Royal Challengers Bengaluru_2024-05-04,2024-05-04,"M Chinnaswamy Stadium, Bengaluru","['F du Plessis', 'V Kohli', 'M Shahrukh Khan', 'R Tewatia', 'DA Miller', 'KD Karthik', 'Swapnil Singh', 'Rashid Khan', 'V Shankar', 'B Sai Sudharsan', 'GJ Maxwell']","['V Kohli', 'F du Plessis', 'M Shahrukh Khan', 'KD Karthik', 'B Sai Sudharsan', 'R Tewatia', 'WG Jacks', 'RM Patidar', 'Rashid Khan', 'V Shankar', 'Shubman Gill']",8
Gujarat Titans_vs_Royal Challengers Bengaluru_2024-04-28,2024-04-28,"Narendra Modi Stadium, Ahmedabad","['WG Jacks', 'B Sai Sudharsan', 'V Kohli', 'M Shahrukh Khan', 'F du Plessis', 'DA Miller', 'Shubman Gill', 'WP Saha']","['WG Jacks', 'B Sai Sudharsan', 'Shubman Gill', 'V Kohli', 'F du Plessis', 'DA Miller', 'M Shahrukh Khan', 'WP Saha']",8
Gujarat Titans_vs_Sunrisers Hyderabad_2023-05-15,2023-05-15,"Narendra Modi Stadium, Ahmedabad","['Shubman Gill', 'H Klaasen', 'B Sai Sudharsan', 'M Markande', 'B Kumar', 'MD Shanaka', 'AK Markram', 'HH Pandya', 'Sanvir Singh', 'DA Miller', 'Anmolpreet Singh']","['B Sai Sudharsan', 'Shubman Gill', 'H Klaasen', 'HH Pandya', 'RA Tripathi', 'Abdul Samad', 'DA Miller', 'WP Saha', 'M Markande', 'R Tewatia', 'Abhishek Sharma']",6
Kolkata Knight Riders_vs_Chennai Super Kings_2024-04-08,2024-04-08,"MA Chidambaram Stadium, Chepauk, Chennai","['RD Gaikwad', 'S Dube', 'SS Iyer', 'SP Narine', 'A Raghuvanshi', 'DJ Mitchell', 'R Ravindra', 'Ramandeep Singh', 'AD Russell', 'RK Singh', 'AS Roy']","['SP Narine', 'RD Gaikwad', 'A Raghuvanshi', 'S Dube', 'RK Singh', 'R Ravindra', 'DJ Mitchell', 'SS Iyer', 'Ramandeep Singh', 'VR Iyer', 'PD Salt']",9
Kolkata Knight Riders_vs_Delhi Capitals_2023-04-20,2023-04-20,"Arun Jaitley Stadium, Delhi","['DA Warner', 'JJ Roy', 'AD Russell', 'MK Pandey', 'AR Patel', 'PP Shaw', 'Mandeep Singh', 'RK Singh', 'Lalit Yadav', 'PD Salt', 'Liton Das']","['DA Warner', 'JJ Roy', 'AR Patel', 'N Rana', 'MK Pandey', 'AD Russell', 'RK Singh', 'PD Salt', 'Mandeep Singh', 'Aman Hakim Khan', 'PP Shaw']",9
